0:0:10	Hughes LAN Systems (formerly Sytek)
0:0:11	Tektronix
0:0:15	Datapoint Corporation 
0:0:18	Webster Computer Corporation	Appletalk/Ethernet Gateway
0:0:1a	AMD (?)
0:0:1b	Novell >> now Eagle Technology
0:0:1d	Cabletron
0:0:2	BBN (was internal usage only, no longer used)
0:0:20	DIAB (Data Intdustrier AB)
0:0:21	SC&C
0:0:22	Visual Technology
0:0:23	ABB Automation AB, Dept. Q
0:0:29	IMC
0:0:2a	TRW
0:0:3c	Auspex
0:0:3d	AT&T
0:0:44	Castelle
0:0:46	ISC-Bunker Ramo, An Olivetti Company
0:0:49	Apricot Ltd.
0:0:4b	APT			A.P.T. Appletalk WAN router
0:0:4f	Logicraft 386-Ware P.C. Emulator
0:0:51	Hob Electronic Gmbh & Co. KG
0:0:52	ODS
0:0:55	AT&T
0:0:5a	SK	(Schneider & Koch in Europe and Syskonnect outside of Europe)
0:0:5a	Xerox 806 (unregistered)
0:0:5d	RCE
0:0:5e	U.S. Department of Defense (IANA)
0:0:5f	Sumitomo (?)
0:0:61	Gateway Communications
0:0:62	Honeywell
0:0:65	Network General
0:0:69	Silicon Graphics(?)
0:0:6b	MIPS
0:0:6e	Artisoft, Inc.
0:0:77	Interphase		[Used in other systems, e.g. MIPS, Motorola]
0:0:78	Labtam Australia
0:0:79	Net Ware (?)
0:0:7a	Ardent
0:0:7b	Research Machines
0:0:7d	Cray Research Superservers,Inc		[Also Harris (3M) (old)]
0:0:7f	Linotronic
0:0:80	Dowty Network Services	[Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere]
0:0:81	Synoptics
0:0:84	Aquila (?), ADI Systems Inc.(?)
0:0:86	Gateway Communications Inc. (also Megahertz Corporation?)
0:0:89	Cayman Systems		Gatorbox
0:0:8a	Datahouse Information Systems
0:0:8e	Jupiter(?), Solbourne(?)
0:0:93	Proteon
0:0:94	Asante			MAC
0:0:95	Sony/Tektronix
0:0:97	Epoch
0:0:98	Cross Com
0:0:9f	Ameristar Technology
0:0:a0	Sanyo Electronics
0:0:a2	Wellfleet
0:0:a3	Network Application Technology (NAT)
0:0:a4	Acorn
0:0:a5	Compatible Systems Corporation
0:0:a6	Network General (internal assignment, not for products)
0:0:a7	Network Computing Devices (NCD)		X-terminals
0:0:a8	Stratus Computer, Inc.
0:0:a9	Network Systems
0:0:aa	Xerox			Xerox machines
0:0:ac	Apollo
0:0:af	Nuclear Data		Acquisition Interface Modules (AIM)
0:0:b0	RND (RAD Network Devices)
0:0:b1	Alpha Microsystems Inc.
0:0:b3	CIMLinc
0:0:b4	Edimax
0:0:b5	Datability		Terminal Servers
0:0:b7	Dove			Fastnet
0:0:bb	TRI-DATA Systems Inc.	Netway products, 3274 emulators
0:0:bc	Allen-Bradley
0:0:c	Cisco
0:0:c0	Western Digital now  SMC (Std. Microsystems Corp.)
0:0:c6	HP Intelligent Networks Operation (formerly Eon Systems)
0:0:c8	Altos
0:0:c9	Emulex			Terminal Servers
0:0:cc	Densan Co., Ltd.
0:0:d0	Develcon Electronics, Ltd.
0:0:d1	Adaptec, Inc.		"Nodem" product
0:0:d3	Wang Labs
0:0:d4	PureData
0:0:d7	Dartmouth College (NED Router)
0:0:d8	old Novell NE1000's ~<=1987 ? (maybe also 3Com?)
0:0:dd	Gould
0:0:de	Unigraph
0:0:e	Fujitsu
0:0:e2	Acer Counterpoint
0:0:e3	Integrated Micro Products Ltd
0:0:e6	Aptor Produits De Comm Indust
0:0:e8	Accton Technology Corporation
0:0:e9	ISICAD, Inc.
0:0:ed	April
0:0:ee	Network Designers Limited(?)
0:0:ef	Alantec
0:0:f	NeXT
0:0:f0	Samsung
0:0:f3	Gandalf Data Ltd. - Canada
0:0:f4	Allied Telesis, Inc.
0:0:f6	A.M.C. (Applied Microsystems Corp.)
0:0:f8	DEC (?)
0:0:fd	High Level Hardware (Orion, UK)
0:17:0	Kabel
0:1:2	BBN (Bolt Beranek and Newman, Inc.)	internal usage (not registered)
0:1:43	IEEE 802
0:1:63	NDC  (National Datacomm Corporation)
0:1:68	W&G  (Wandel & Goltermann)
0:1:c8	Thomas Conrad Corp.
0:40:10	Sonic			Mac Ethernet interfaces
0:40:14	Comsoft Gmbh
0:40:15	Ascom (?)
0:40:1f	Colorgraph Ltd
0:40:27	Sigma (?)
0:40:2a	Canoga-Perkins
0:40:2b	TriGem
0:40:2f	XDI (?)
0:40:30	GK Computer
0:40:33	Addtron Technology Co., Ltd.
0:40:3c	Forks, Inc.
0:40:41	Fujikura Ltd.
0:40:4c	Hypertec Pty Ltd.
0:40:50	Ironics, Incorporated
0:40:5b	Funasset Limited
0:40:66	Hitachi Cable, Ltd.
0:40:68	Extended Systems
0:40:6e	Corollary, Inc.
0:40:74	Cable and Wireless
0:40:76	AMP Incorporated
