
What's New 
OpenServer Standard Product Utilities/Libraries


GNU Compression library (libz)                  1.1.4
BZIP2 Compression library (libbz2)              1.0.2
IJG JPEG Library (libjpeg)                      6b
JASPER JPEG-2000 library (libjasper)            1.500.3
JBIG-Kit ISO/IEC 11544:1993 (libjbig)           1.2
TIFF Image Manipulation Library (libtiff)       3.4
Portable Network Graphics Library (libpng)      1.2.4
Multi-image Network Graphics (libmng)	        1.0.4
XPM Portable X Pixmaps (libXpm)                 3.4k
True-Type Font Library Version 1 (libttf)       1.3.1
True-Type Font Library Version 2 (libfreetype)  2.1.2
