
SCO OpenServer gwxlibs package (continued)


XML Security Library (xmlsec)			1.2.5
MD5 Digest Library (libmd5)			1.0.0
Truerand Random Number Library (librand)	1.0.0
OpenSSL Secure Socket Layer (libssl,libcrypto)	0.9.7d and 0.9.6m
OpenSLP Service Location Protocol (libslp)		1.2.0
OpenLDAP Library Kit (libldap,liblber)		2.2.14
SASL Library (libsasl)				2.1.18
MM Library (libmm)				1.3.0
W3C Consortium Library (libw3c,libwww)		5.4.0
Perl Compatible Regular Expressions (PCRE)	4.5
Little Color Management System (lcms)		1.13
IDL Processing library (libIDL-2.0)		0.8.3
cURL URL fetching library (libcurl)		7.12.0
JavaScript Library				1.5rc5
Sablotron XML Processor				1.0.1
International Components for Unicode (ICU)	3.0
